,id,spectral_centroid_mean,spectral_centroid_dev,rolloff_point_mean,rolloff_point_dev,flux_mean,flux_dev,variability_mean,variability_dev,compactness_mean,compactness_dev,rms_mean,rms_dev,low_energy_window_mean,low_energy_window_dev,zero_crossing_mean,zero_crossing_dev,title,genre
10,TRBGGOS128F9307FC5,10.44,6.858,0.06484,0.0627,0.002707,0.00683,0.004303,0.002616,1602.0,168.9,0.1655,0.09252,0.6125,0.08416,31.81,17.78,b'The Second One',Pop_Rock
11,TRBGHHB128F1487CD2,8.671,7.361,0.06483,0.06098,0.002073,0.003325,0.003551,0.002259,1667.0,232.5,0.1312,0.07321,0.5538,0.04345,27.22,18.45,"b""I'm Your Money (12'' Extended Version) (2006 Digital Remaster)""",Pop_Rock
12,TRBGHYG12903CEAC9C,8.535,6.069,0.06174,0.05732,0.00393,0.00549,0.005726,0.002728,1631.0,208.0,0.2204,0.09463,0.6211,0.05602,25.81,15.03,b'When It Stings',Pop_Rock
13,TRBGHBW12903CDCF83,9.063,5.926,0.0651,0.05209,0.01033,0.01166,0.007903,0.003892,1543.0,205.8,0.3011,0.1247,0.5891,0.04968,29.96,13.96,b'Hindsight',Pop_Rock
14,TRBGHJG128F428ADB4,15.56,8.6,0.1264,0.0737,0.005972,0.005841,0.006439,0.002331,1510.0,216.5,0.259,0.07598,0.5803,0.05231,47.29,19.92,b'Lovely Day',Pop_Rock
15,TRBGCWM12903CF5BF7,10.64,6.618,0.08288,0.06761,0.006046,0.004666,0.0064,0.002271,1548.0,191.7,0.247,0.06687,0.5333,0.04338,36.89,15.53,b'Enslaved By Propaganda',Pop_Rock
16,TRBGCJQ128F1453CB3,8.85,4.399,0.0594,0.03942,0.001308,0.001091,0.004609,0.001763,1856.0,247.1,0.1762,0.06404,0.5026,0.0634,23.5,11.06,b'Rakkahin -Be My Love-',Pop_Rock
17,TRBGRAN128F9339A1B,5.305,4.759,0.03533,0.04782,0.002329,0.002032,0.004693,0.001539,1675.0,299.2,0.1772,0.04794,0.4995,0.05011,15.98,13.53,b'Creep Live Version',Pop_Rock
18,TRBGRGB128F4289283,9.088,8.234,0.05882,0.06822,0.001884,0.003219,0.003828,0.001985,1696.0,224.3,0.1444,0.06426,0.5432,0.04884,29.12,19.87,b'Over The River',Reggae
19,TRBGRGT12903CC5019,14.37,7.312,0.1095,0.05855,0.004698,0.003113,0.006611,0.001784,1593.0,193.0,0.2649,0.05755,0.5177,0.04313,44.91,15.77,b'11th Street',Pop_Rock
20,TRBGRKJ128F4261513,4.41,5.88,0.02648,0.05659,0.0003343,0.0008578,0.001396,0.001347,1658.0,209.1,0.05356,0.04899,0.6085,0.07217,13.5,14.09,b'Too Far From The Tree',Folk
21,TRBGRIP128F147FCA6,5.648,5.612,0.03586,0.04627,0.00203,0.002421,0.00433,0.001856,1671.0,225.2,0.1627,0.0608,0.5458,0.05095,17.81,15.35,b'Everyday',Pop_Rock
22,TRBGBGO128F4264203,11.48,8.426,0.08527,0.08337,0.003678,0.004109,0.004837,0.002328,1570.0,158.6,0.188,0.06983,0.5974,0.04327,40.84,20.87,b'Talk Of The Town',Pop_Rock
23,TRBGBQC12903CD7B4F,7.939,4.263,0.04672,0.032,0.001278,0.001413,0.004304,0.001691,1677.0,220.2,0.1647,0.0614,0.5507,0.0595,17.91,10.27,b'The Story Of An Artist',Pop_Rock
24,TRBGBEE12903CBD301,13.21,11.63,0.08509,0.07672,0.001064,0.004864,0.001377,0.002348,1585.0,241.4,0.05153,0.07959,0.6959,0.1322,34.08,25.74,b'One Thing',Rap
25,TRBGBIK128F4294A67,11.18,11.53,0.07628,0.08795,0.006561,0.01275,0.006044,0.004584,1582.0,233.4,0.2238,0.1412,0.5953,0.04909,33.12,26.8,b'Denk',Pop_Rock
26,TRBGBUY128F422B413,6.362,5.272,0.04562,0.04432,0.003578,0.002791,0.006645,0.002901,1568.0,178.7,0.2366,0.0847,0.4889,0.1119,18.52,14.31,b'Attic Room',Pop_Rock
27,TRBGBDH12903CE9EA8,3.346,6.408,0.02144,0.0484,0.001876,0.002909,0.005946,0.002871,1582.0,196.3,0.1971,0.07106,0.5806,0.05834,9.81,16.35,b'Big Trouble Upstairs',Electronic
28,TRBGFAX128F4275F56,8.034,7.45,0.05068,0.06866,0.002834,0.006505,0.00365,0.002485,1703.0,239.9,0.1408,0.08146,0.589,0.05763,29.52,19.9,b'La Bruja Chafa',Latin
29,TRBGFYI128F424742D,7.926,6.756,0.0509,0.04673,0.001352,0.001696,0.004056,0.002129,1750.0,249.6,0.1518,0.07257,0.5069,0.07836,22.12,14.74,b'Here We Go Again',RnB
30,TRBGFXC12903D01967,5.426,3.125,0.03474,0.02544,0.003337,0.003666,0.006254,0.002212,1611.0,189.2,0.2321,0.06863,0.5449,0.04712,18.1,8.667,b'Locked Away',Pop_Rock
31,TRBGFXJ12903CAC91E,13.97,10.94,0.09198,0.07173,0.0009432,0.001483,0.002678,0.001643,1612.0,167.2,0.105,0.06038,0.5658,0.06637,36.22,24.36,b'Min Xechnas (Forse)',International
32,TRBGQAO128EF35A1AD,7.655,10.61,0.0484,0.07631,0.0002743,0.000347,0.002071,0.001347,1681.0,231.1,0.0795,0.05004,0.4884,0.09302,19.77,24.56,b'Lullaby [With Ladysmith Black Mambazo] (Album Version)',Vocal
33,TRBGQFF128F42BAE97,6.12,5.804,0.0415,0.05986,0.003951,0.004819,0.006189,0.002353,1592.0,228.8,0.2356,0.07556,0.5278,0.05491,20.02,17.3,b'Walk On The Wild Side',Pop_Rock
34,TRBGQTD128F42658D8,15.62,8.536,0.09338,0.05872,0.0009113,0.001599,0.002968,0.002754,1688.0,294.5,0.114,0.1034,0.5167,0.09623,35.63,19.64,b'Army',Rap
35,TRBGQAB128E07877E4,9.442,6.56,0.0701,0.0585,0.003585,0.005636,0.005488,0.00251,1641.0,248.2,0.212,0.08754,0.5602,0.05255,29.63,16.27,b'Parallel Universe (Album Version)',Pop_Rock
36,TRBGZQQ128EF354F69,8.977,13.84,0.06095,0.09697,0.006128,0.007306,0.007181,0.004564,1623.0,244.9,0.2573,0.1294,0.5054,0.05542,26.41,30.43,b'Ladies And Thugs',Rap
37,TRBGZED128F425DF76,1.824,0.8224,0.01071,0.005944,0.0006847,0.001163,0.001916,0.001193,1595.0,230.9,0.07036,0.03916,0.5967,0.03854,4.629,3.434,b'Primal Forces',International
38,TRBGICJ128F427BA9A,8.538,12.67,0.05356,0.0933,0.001374,0.002604,0.003275,0.00197,1603.0,216.8,0.1242,0.06757,0.5651,0.08159,26.58,28.36,b'Beni Aglatma',International
39,TRBGITG128F422F3FB,12.21,5.676,0.09227,0.0462,0.005686,0.004858,0.006524,0.002588,1590.0,207.4,0.2559,0.08662,0.5674,0.03914,35.48,12.83,b'No Such Thing As Control (Album Version)',Pop_Rock
40,TRBGNUV128F426D20F,12.71,12.58,0.0945,0.1097,0.005959,0.008178,0.006483,0.003675,1586.0,171.9,0.2419,0.1147,0.6227,0.06601,41.94,30.66,b'Respect This Hustle (Explicit Album Version)',Rap
41,TRBGNGY128F14738B8,14.37,5.621,0.09651,0.04511,0.002801,0.00418,0.004763,0.002438,1701.0,239.8,0.1892,0.09314,0.5386,0.07082,38.08,13.9,b'Cajun Baby (LP Version)',Pop_Rock
42,TRBGNHU128F4220469,3.367,4.05,0.02219,0.02908,0.0004466,0.0007639,0.00225,0.001599,1619.0,206.2,0.08058,0.05364,0.5295,0.1103,8.93,10.41,b'Midnight Jump',Blues
43,TRBGNCL128F428F56F,7.187,7.321,0.04773,0.06597,0.007571,0.01334,0.007299,0.005045,1615.0,202.6,0.2661,0.1503,0.6821,0.0344,24.79,20.72,b'4 In The Morning',Pop_Rock
44,TRBGNAF128F9339532,15.98,7.398,0.1036,0.05462,0.004212,0.00681,0.005159,0.002491,1566.0,170.0,0.2063,0.09007,0.6375,0.07176,42.82,16.2,b'Noche De Paz',Latin
45,TRBGNNC128F148D427,10.1,10.98,0.0717,0.08165,0.002253,0.002743,0.004248,0.002083,1637.0,211.6,0.1551,0.06467,0.5472,0.04185,30.06,24.42,b'For My People',Rap
46,TRBGNBC128F423DCD8,5.533,3.069,0.03473,0.02264,0.002106,0.001936,0.004474,0.001575,1636.0,191.9,0.168,0.05274,0.5355,0.03545,16.87,8.259,b'Village Dance',Jazz
47,TRBGNPE128E078EC14,4.472,2.285,0.03385,0.01915,0.001876,0.002061,0.004182,0.001707,1812.0,240.5,0.1519,0.0552,0.4989,0.0565,13.21,5.975,"b""Just Don't Give A Fuck""",Rap
48,TRBGNPF128F930AB9B,3.947,5.906,0.02563,0.04996,0.001115,0.002214,0.002483,0.001875,1543.0,247.9,0.08772,0.05924,0.5597,0.06002,13.21,16.23,b'Floating',Pop_Rock
49,TRBGPWE128F421CCB4,7.67,7.364,0.051,0.05439,0.002256,0.00241,0.00436,0.001985,1718.0,257.7,0.1659,0.0697,0.5331,0.07067,22.22,17.75,b'All For The Sake Of The Song',Country
50,TRBGPCC128F428FF02,11.0,4.401,0.08542,0.03665,0.001357,0.001483,0.003102,0.001126,1603.0,189.0,0.1232,0.03761,0.5811,0.04457,33.18,10.17,b'Looking In Your Eyes',Pop_Rock
51,TRBGPJP128E078ED20,15.67,6.357,0.1117,0.05901,0.003539,0.003629,0.005999,0.001595,1632.0,161.4,0.2441,0.05736,0.5339,0.05058,44.55,15.62,b'Crazy',Pop_Rock
52,TRBGTHM128F933DBB1,10.23,13.65,0.06621,0.108,0.001134,0.002011,0.003236,0.002291,1646.0,192.5,0.1155,0.07378,0.5029,0.0574,30.44,33.21,b'For All We Know',Reggae
53,TRBGTNZ128F1481BBD,7.546,3.935,0.04586,0.03187,0.0006647,0.0008347,0.002938,0.001415,1757.0,224.3,0.1119,0.05187,0.5635,0.06972,21.32,10.57,b'Palavras',Latin
54,TRBGTAB12903CF8B83,7.67,6.284,0.05077,0.04878,0.0002324,0.0002679,0.001754,0.0007763,1714.0,273.7,0.06729,0.02964,0.5098,0.07529,20.71,15.51,b'Accept Me',Latin
55,TRBGTPK128F429E5D5,8.167,9.543,0.05385,0.06814,0.004221,0.01003,0.004842,0.004346,1552.0,246.8,0.1785,0.1502,0.63,0.08881,22.96,21.69,b'Coma',Rap
56,TRBGTZD128EF34B6C3,14.66,15.9,0.09766,0.09776,0.0005667,0.0008353,0.002005,0.001129,1595.0,198.4,0.07644,0.03864,0.5767,0.0666,43.24,34.15,b'Nothing To Hold Me',Pop_Rock
57,TRBGUHQ128F933699C,13.58,18.16,0.09631,0.1447,0.006162,0.01015,0.006976,0.004827,1547.0,200.7,0.2622,0.1577,0.5696,0.04268,38.32,43.14,b'Novakane',Rap
58,TRBGUUF128F9334B97,6.497,7.147,0.04139,0.05374,0.002756,0.004007,0.004893,0.002855,1639.0,229.6,0.182,0.1003,0.5186,0.04493,19.75,16.96,b'No Hay Manera',Latin
59,TRBGUTI128E07872F0,11.69,15.73,0.07692,0.1155,0.004325,0.008329,0.005704,0.004149,1620.0,226.2,0.2089,0.1334,0.5823,0.06217,32.28,35.58,b'In My Hood (Explicit Album Version)',Rap
60,TRBGULP128F422F290,11.17,5.21,0.08898,0.0472,0.007794,0.009551,0.007501,0.003048,1589.0,223.7,0.29,0.1038,0.5701,0.04837,35.07,13.01,b'Defend You (Album Version)',Pop_Rock
61,TRBGLRQ12903CA86EE,8.688,6.536,0.05929,0.05545,0.005551,0.008482,0.006142,0.003264,1612.0,180.8,0.2311,0.1005,0.671,0.07869,28.35,18.01,b'Love Me',Pop_Rock
62,TRBGLAD128F9343692,8.641,10.0,0.04964,0.07835,0.002294,0.004836,0.00665,0.003731,1632.0,192.7,0.2497,0.1359,0.5062,0.09603,25.85,25.89,"b""L'Amour Existe Encore""",Pop_Rock
63,TRBGLRU128F42A1F00,11.17,4.316,0.078,0.02409,0.002381,0.001937,0.004964,0.001686,1624.0,210.1,0.1933,0.06101,0.5136,0.03815,28.28,8.89,b'Leather Prowler',Pop_Rock
64,TRBGLQN128F92E2637,7.928,6.623,0.05393,0.06008,0.006964,0.01108,0.006326,0.003466,1574.0,198.4,0.2338,0.1131,0.5646,0.05465,28.66,17.11,b'The Witching Hour',Pop_Rock
65,TRBGLCC128F427FE7D,7.409,12.03,0.05163,0.09571,0.0002402,0.0007341,0.001202,0.0009817,1562.0,191.8,0.04546,0.03458,0.6184,0.09645,22.38,29.3,"b""Heut' Nacht""",Pop_Rock
66,TRBGLFD12903CD3D43,14.14,8.076,0.1121,0.07803,0.006087,0.007002,0.006417,0.002856,1515.0,231.5,0.2523,0.09822,0.574,0.0464,45.36,20.11,b'Diamond Eyes (Album Version)',Pop_Rock
67,TRBGLSW12903CE3D8A,10.18,9.695,0.06944,0.08343,0.0005393,0.0008952,0.001885,0.001337,1626.0,167.0,0.07209,0.04707,0.5758,0.05568,31.24,23.52,b'Underarms',Rap
68,TRBGEUJ128F42B06B8,8.749,10.8,0.05849,0.0726,0.00685,0.01077,0.006232,0.004688,1592.0,242.3,0.2236,0.1539,0.5171,0.07533,23.22,23.82,b'I Wish I Was A Punk Rocker (With Flowers In My Hair)',Pop_Rock
69,TRBGELF128E07915B8,10.4,11.7,0.07346,0.1058,0.005441,0.009132,0.005752,0.004048,1523.0,218.6,0.2101,0.1256,0.6417,0.03957,36.69,29.71,b'My Harlem Lullaby (Album Version)',Rap
70,TRBGEHK12903CEEFC0,21.03,18.19,0.14,0.1254,0.0003439,0.0005082,0.001485,0.001242,1870.0,300.4,0.05558,0.04349,0.5702,0.08092,59.32,36.52,b'Sannyasin',Jazz
71,TRBGEZL12903CCC7E2,8.661,5.925,0.06181,0.04878,0.0002165,0.0002207,0.001409,0.0006331,1683.0,221.5,0.05458,0.02374,0.5205,0.05153,22.85,13.66,b'Dance of the Blue Devils',Jazz
72,TRBGJYR128F42371AB,8.743,5.86,0.06301,0.0548,0.002954,0.003081,0.004995,0.001909,1761.0,237.5,0.1919,0.06641,0.5309,0.0574,27.49,15.14,b'Money Blues',Blues
73,TRBGJDW128F4292EDB,8.445,7.856,0.06014,0.06453,0.003902,0.008383,0.005026,0.003889,1670.0,217.0,0.1827,0.128,0.6679,0.0716,24.63,19.83,b'Karma',RnB
74,TRBGJMS12903CE5583,7.872,5.054,0.0507,0.03707,0.0007931,0.001458,0.002168,0.001456,1688.0,290.9,0.08123,0.04952,0.5904,0.05783,20.7,12.26,"b""Pete's Crusade""",RnB
75,TRBGJYY128F930DAEE,5.736,7.689,0.03527,0.05571,0.00293,0.008276,0.00377,0.00373,1664.0,215.3,0.1312,0.114,0.6558,0.0674,18.31,18.73,b'This Is A Stick Up',Rap
76,TRBGSVO12903CFE3AE,12.38,8.239,0.09018,0.06294,0.0002843,0.0007306,0.001104,0.000884,1563.0,194.6,0.0421,0.0307,0.6915,0.04561,35.83,18.0,b'Glow',Pop_Rock
77,TRBGSCJ128F92F6D47,8.855,8.323,0.05596,0.05242,0.001044,0.000963,0.004369,0.001647,1684.0,313.9,0.1683,0.0607,0.4822,0.07439,22.94,17.57,"b""I'll Be Around""",Country
78,TRBGSCR128F92FE2AE,12.71,11.94,0.09153,0.09712,0.001476,0.002689,0.003095,0.00194,1576.0,193.5,0.1176,0.06459,0.638,0.09078,40.44,28.33,b'Keep Hope Alive',Electronic
79,TRBGVSE128EF3686B6,70.06,22.93,0.4339,0.1395,0.0001461,0.000253,0.0007041,0.0004328,1591.0,159.6,0.03501,0.02006,0.5532,0.05378,151.2,43.99,b'Let The Drummer Have Some',Pop_Rock
80,TRBGDRZ128F92F1D4D,2.407,3.836,0.01541,0.0282,0.005862,0.007273,0.006527,0.004483,1536.0,214.2,0.2364,0.1589,0.5413,0.05574,5.972,7.618,b'Untitled',Pop_Rock
81,TRBGDND128F9312B81,7.848,4.432,0.04704,0.03614,0.0003133,0.0004243,0.001819,0.001092,1625.0,170.1,0.06948,0.04046,0.5736,0.05954,23.41,13.06,"b""Doodlin'""",Jazz
82,TRBGDOU128F93341A2,6.459,1.893,0.03614,0.01132,7.149e-05,0.0001583,0.001108,0.0007088,1796.0,267.7,0.04214,0.02631,0.5552,0.07418,14.36,4.322,b'Hermitage',Jazz
83,TRBGDXT128F1487E86,11.54,8.317,0.08216,0.07009,0.004212,0.006268,0.004756,0.002953,1569.0,182.6,0.1841,0.1042,0.6149,0.07809,36.21,19.16,b'Stampede',Pop_Rock
84,TRBGOOR12903CC5261,13.74,11.69,0.09628,0.106,0.001834,0.003328,0.003139,0.002027,1636.0,186.8,0.12,0.06832,0.5537,0.05381,42.14,28.83,b'Tear It Up (LP Version)',Pop_Rock
85,TRBGOPC128F4231959,19.07,6.351,0.1377,0.03285,0.00471,0.003275,0.006314,0.001805,1565.0,187.7,0.2515,0.05694,0.5701,0.03976,50.95,11.46,b'Voyage to eternal Life',Pop_Rock
86,TRBGOQJ128F4263E27,6.305,6.994,0.03962,0.05599,0.002675,0.005992,0.003955,0.002643,1671.0,221.0,0.1454,0.0857,0.5583,0.07515,19.86,18.4,b'Radioland',Blues
87,TRBGXWM128F428E59A,9.138,4.741,0.059,0.04009,0.001678,0.001449,0.003995,0.001526,1725.0,211.1,0.1547,0.0552,0.5321,0.05559,27.55,11.66,b'Nieve',Latin
88,TRBGXBT128EF34EB68,6.566,3.83,0.03934,0.03174,0.005986,0.01013,0.006787,0.003362,1654.0,215.3,0.2493,0.1019,0.5527,0.05855,20.96,10.34,b'Momentum',Electronic
89,TRBGKBZ128F931569B,9.008,4.329,0.06708,0.04068,0.005348,0.004655,0.007125,0.001999,1600.0,194.1,0.2757,0.06343,0.5623,0.04391,27.75,11.49,b'Zeno Beach',Pop_Rock
90,TRBGKLM128F425CF97,6.442,4.171,0.03678,0.03418,0.005027,0.009449,0.006632,0.003316,1703.0,242.0,0.252,0.1125,0.5134,0.0643,16.84,10.88,b'Phrase',International
91,TRBGKRS128F934AC0A,12.96,5.248,0.09723,0.03909,0.006069,0.006063,0.006775,0.002408,1595.0,195.6,0.269,0.08293,0.6194,0.04949,36.52,11.13,b'Love You to Pieces',Pop_Rock
92,TRBGKYA12903CF573B,10.78,7.982,0.07811,0.0616,0.003997,0.007352,0.004492,0.003034,1705.0,283.4,0.1701,0.09955,0.605,0.08037,29.9,16.99,b'Take That!',Jazz
93,TRBGKMB128F146E125,9.773,7.998,0.07074,0.05749,0.005622,0.006973,0.006362,0.00241,1596.0,191.9,0.2406,0.0763,0.5362,0.05199,31.0,17.25,b'Medicine',Pop_Rock
94,TRBGKOU128F148C6C6,14.29,9.809,0.09423,0.092,0.0007854,0.0008041,0.003062,0.0009641,1726.0,257.2,0.1213,0.03426,0.4413,0.03783,43.26,23.41,"b""Don't Waste My Time""",Pop_Rock
95,TRBGYDZ12903D075D4,4.722,3.045,0.02898,0.026,0.001745,0.003132,0.004503,0.002648,1820.0,308.6,0.1674,0.09062,0.5711,0.06888,12.84,9.215,b'All Creatures Of Our God And King',Folk
96,TRBGYBT128F428C80B,13.63,8.126,0.09076,0.06628,0.0007096,0.001429,0.002301,0.0012,1673.0,212.3,0.09015,0.04247,0.5845,0.08199,37.47,18.75,b'This Is My Life',Blues
97,TRBGYFJ128F92D0254,12.97,13.02,0.08737,0.1102,0.001091,0.001442,0.0037,0.002081,1619.0,170.5,0.1423,0.07802,0.5323,0.08339,38.0,31.87,b'Hi De Ho',Pop_Rock
98,TRBGYLV128F4285763,10.03,5.786,0.06545,0.04747,0.002033,0.001463,0.00456,0.001415,1668.0,177.0,0.1775,0.05085,0.4924,0.0339,28.69,14.53,"b""Playgirl's Love""",RnB
99,TRBGYCS128F4277187,14.22,4.29,0.1166,0.03651,0.005414,0.002912,0.006392,0.001471,1543.0,178.9,0.2576,0.04878,0.5301,0.03886,41.93,9.308,b'A Void Of Lifeless Dreams',Pop_Rock
100,TRBHMLU128F429C194,10.72,10.47,0.07753,0.09704,0.005885,0.007792,0.006935,0.004098,1578.0,207.9,0.2557,0.1248,0.5504,0.04523,36.87,26.0,b'Sag es sag es feat. Neo',Rap
101,TRBHWSJ128F42A6CB3,9.331,10.47,0.06243,0.07655,0.002016,0.00296,0.00402,0.002031,1607.0,190.5,0.1541,0.07184,0.5018,0.05405,28.05,23.91,b'Yksin\xc3\xa4isin',Pop_Rock
102,TRBHWFN128F149E95B,6.89,7.194,0.0447,0.061,0.001339,0.002001,0.003746,0.00165,1742.0,240.5,0.1408,0.05603,0.5239,0.05366,21.22,17.58,b'She Hui Ge (Movie 2nd Song - Love Undercover 3)',Pop_Rock
103,TRBHWBQ12903CD4338,6.091,4.399,0.04001,0.04837,0.00602,0.006066,0.006968,0.002585,1575.0,194.6,0.258,0.071,0.509,0.03593,24.34,12.05,b'Be Elevator',Pop_Rock
104,TRBHGRU12903CE2C48,8.544,5.042,0.06391,0.04358,0.001543,0.002335,0.00378,0.001662,1629.0,200.0,0.1431,0.05439,0.532,0.0965,27.81,12.86,b'Fractured Quantum',Pop_Rock
105,TRBHGUK128E078E031,4.988,3.21,0.03306,0.02123,0.001376,0.002101,0.003398,0.001903,1622.0,186.7,0.12,0.05433,0.5987,0.05469,15.31,9.235,b'Yellow Brown',Pop_Rock
106,TRBHGKH128F427FB11,5.316,6.876,0.0323,0.05232,0.0006687,0.002456,0.001704,0.001745,1662.0,221.9,0.06309,0.06098,0.7413,0.07146,16.43,17.43,b'Lo Siento En Mi Coraz\xc3\xb3n',Latin
107,TRBHHMI128F426779C,7.596,3.843,0.05464,0.03337,0.003988,0.003858,0.005522,0.002094,1608.0,204.3,0.2105,0.07075,0.561,0.04291,24.73,10.7,b'78 Stimulator',Pop_Rock
108,TRBHHUC128F4294C6F,4.386,2.732,0.02726,0.01969,0.0009088,0.00185,0.002648,0.001212,1651.0,213.6,0.0974,0.03818,0.5523,0.06916,13.79,8.349,b'City Headache',Pop_Rock
109,TRBHHGM12903CFD7C3,13.22,6.954,0.09414,0.06455,0.001005,0.0006881,0.003173,0.001031,1607.0,217.2,0.126,0.03775,0.4943,0.05078,40.42,16.14,b'On The Road Again',Pop_Rock
110,TRBHHDU128F92FD6B5,9.249,5.458,0.05941,0.04633,0.001438,0.001435,0.003672,0.001528,1680.0,188.0,0.1403,0.05261,0.543,0.06003,27.48,12.63,b'Rude!/Drum Solo',Pop_Rock
111,TRBHHUB12903D09FEA,9.526,6.76,0.07009,0.06104,0.007442,0.006838,0.0073,0.002906,1555.0,200.5,0.2795,0.0926,0.5289,0.04467,31.83,15.75,b'Skiff For The Suits',Pop_Rock
112,TRBHHAC128F92D8379,8.15,9.058,0.05276,0.07293,0.0002952,0.0009579,0.001661,0.001104,1651.0,195.5,0.06284,0.0402,0.5694,0.1073,23.63,23.22,b'House Of Sin',Pop_Rock
113,TRBHHCU128F148AF19,5.531,3.843,0.03446,0.02844,0.0005494,0.00077,0.002173,0.001123,1592.0,218.3,0.08378,0.04022,0.5467,0.0559,15.79,9.455,"b""I Love The Life I'm Living""",Blues
114,TRBHCQF128F933B1E2,11.41,13.97,0.08309,0.1154,0.004906,0.004976,0.006157,0.002519,1603.0,229.4,0.2352,0.0888,0.5066,0.05396,35.55,31.88,b'Irreplaceable',Latin
115,TRBHCXP128F146D63B,14.59,11.62,0.09833,0.07951,0.001258,0.001802,0.002872,0.001654,1604.0,194.4,0.1099,0.05426,0.6187,0.05673,43.79,24.57,b'Are You The One?',Pop_Rock
116,TRBHCXR128F92E7D0E,6.49,2.645,0.04057,0.025,0.000795,0.0008867,0.002647,0.0009513,1614.0,229.8,0.103,0.03263,0.537,0.0507,19.42,7.445,b'Cheer',Pop_Rock
117,TRBHCQA128F149F192,11.9,9.723,0.08892,0.07364,0.003367,0.002751,0.005584,0.001798,1643.0,201.9,0.2166,0.06101,0.5271,0.05337,34.27,21.82,b'She Runs',Country
118,TRBHRGA128F4268884,9.466,6.883,0.06337,0.05698,0.003439,0.005214,0.005298,0.002144,1643.0,204.0,0.2056,0.07358,0.5589,0.06706,28.83,17.26,b'Eleanor',Pop_Rock
119,TRBHRKO128F42479B1,8.676,9.766,0.0542,0.06553,5.734e-05,0.0001078,0.0007968,0.0006965,1611.0,288.3,0.03087,0.02668,0.5908,0.08567,21.01,20.82,b'The Drug Suite',Pop_Rock
120,TRBHRGS128F92E535F,10.33,12.85,0.0704,0.09912,0.008352,0.01118,0.007905,0.00426,1583.0,211.7,0.2882,0.1311,0.4889,0.06138,31.97,29.92,b'Chasing Windmills',Reggae
121,TRBHRGW128F92FFEFF,13.75,11.58,0.09195,0.08097,0.003681,0.006805,0.004368,0.003942,1627.0,272.2,0.1611,0.1312,0.6148,0.06359,36.07,26.09,b'Child Support',Rap
122,TRBHBWW128F1475058,8.351,10.47,0.05095,0.08057,0.001455,0.002737,0.003062,0.00228,1604.0,207.4,0.1157,0.07943,0.5848,0.04715,25.89,24.73,b'Hala_ Tumba And Timbal',Latin
123,TRBHFVD128F4248837,6.696,2.728,0.03759,0.01331,0.0002861,0.0008142,0.002166,0.001957,1625.0,186.8,0.08125,0.07267,0.5778,0.08107,15.46,5.642,b'Music For The Head',Pop_Rock
124,TRBHFDA128F4270728,8.991,7.841,0.06113,0.05882,0.0007776,0.002056,0.002103,0.001508,1644.0,241.9,0.08071,0.0525,0.6153,0.07925,25.83,17.79,b'Slow Hand (LP Version)',Country
